job,company,location
Technology Risk Consultant (Financial Services),EY,Singapore
MDes in Design and Technology Innovation ,Duke University,"Durham, NC"
Project Manager,Epic Systems,
Founding Engineer,David AI,"San Francisco, CA"
Management Rotational Program,Capital One,"Richmond, VA"
Statistics & CS Masters Student,Purdue University,"Lafayette, IN"
Digital Marketing Strategist,DiMeo Partners,"Greater Chicago Area, IL"
Machine Learning/AI Co-op,Nokia,"Naperville, IL"
Technology Consultant,EY,"Chicago, IL"
Software Engineer,Nike,"Chicago, IL"
Business Manager,Boyer Repair,"London Mills, IL"
Marketing Science Analyst,Analytic Partners,"New York City, NY"
Contract Analyst,Kreis Tool & Manufacturing,
Software Engineer,LinkedIn,
,Golf VX (?),
ECDLP,United Airlines,
Computation Analysis and Public Policy MS Student,University of Chicago,"Chicago, IL"
ECP IT Analyst - Cyber Security response team,Medtronic,"Greater Chicago Area, IL"
Product Analyst,US Foods,"Rosemont, IL"
Software Engineer,JP Morgan Chase,"New York City, NY"
Software Developer,AbbVie,"Greater Chicago Area, IL"
MS in Computer Science ,Northwestern University,"Evanston, IL"
,,
"MS, Neuroscience",University of Texas at Austin,"Austin, TX"
Workday HCM Consultant,TopBloc,"Chicago, IL"
Product Information Specialist,MISUMI,
MS Computer Science + Public Policy,UChicago,"Chicago, IL"
Information Technology Data Analyst,Caterpillar,
Economic Valuation Services Associate,KPMG,"Philadelphia, PA"
"Supervisor, Cyber Security Service Engineering",McDonald's,"Chicago, IL"
Network Technician,City of Champaign,"Champaign, IL"
Cybersecurity Supervisor,McDonald's,"Chicago, IL"
Client Relationship Analyst,Morgan Stanley,"Chicago, IL"
Consultant,KCIC,"Chicago, IL"
,,
Software Engineer,The ABIS Group,"Evanston, IL"
Decision Science Analyst,Axtria-Ingenious Insights,"Durham, NC"
,Jump Trading,
,,
Integration Engineer,Epic,
,,
Cyber Security Specialist,McDonald's,"Chicago, IL"
Analyst,Kaufman Hall,"Chicago, IL"
Cybersecurity AT Analyst,AbbVie,"Chicago, IL"
"Cyber, Risk, and Regulatory Associate",PwC,"Chicago, IL"
M&A Data Analyst,Deloitte,"Chicago, IL"
,,
,,
Risk & Financial Advisory Analyst,Deloitte,"Chicago, IL"
"Business Systems Analyst, BTS Patient Services",AbbVie,"Chicago, IL"
MDes for HCI and Emerging Tech,Washington University at St. Louis,"St. Louis, MO"
